CPP_matlab_0,Time _0,CPP_matlab_1,Time_1 ,CPP_matlab_2,Time_2 ,CPP_matlab_3,Time_3 ,CPP_matlab_4,Time_4,CPP_matlab_5,Time_5,CPP_matlab_6,Time_6
,,,,,,18.69403141,9681,13.84909878,9681,14.8652667,9681,16.13684222,9681
,,,,,,19.03761403,9761,11.12548143,9761,17.27323961,9761,16.02520682,9761
,,,,,,16.19176951,9841,16.33579979,9841,14.74970853,9841,14.76516013,9841
,,,,,,17.17542832,9921,12.31554336,9921,13.66526484,9921,12.80293229,9921
,,,,,,18.17102409,10001,16.60693302,10001,11.71479973,10001,14.16987115,10001
,,,,,,16.10693806,10081,13.09554477,10081,16.82910352,10081,10.71874195,10081
,,,,,,14.94900646,10161,13.17998812,10161,21.79954531,10161,13.55800592,10161
,,,,,,18.54003604,10241,15.49874576,10241,21.47709431,10241,12.24245443,10241
,,,,,,17.19724629,10321,14.1705186,10321,22.06562753,10321,12.44113119,10321
,,,,,,17.34259034,10401,14.28855396,10401,21.5555946,10401,16.03129429,10401
,,,,,,16.05165277,10481,14.21889987,10481,29.4275026,10481,13.87337772,10481
,,,,,,15.66199805,10561,13.17675256,10561,23.501736,10561,12.88557256,10561
,,,,,,13.69019218,10641,17.66989849,10641,22.39922082,10641,10.49885888,10641
,,,,,,15.352634,10721,14.65545142,10721,20.59257027,10721,12.79878822,10721
,,,,,,19.34142988,10801,13.12797629,10801,21.15050979,10801,17.2045935,10801
,,,,,,16.18524958,10881,15.71242299,10881,16.38006302,10881,23.91651568,10881
,,,,,,15.71547346,10961,14.46201062,10961,16.79330039,10961,26.0111557,10961
,,,,,,14.56926136,11041,11.40828574,11041,13.76432683,11041,23.77313112,11041
,,,,,,17.55588069,11121,15.31672423,11121,16.1274736,11121,22.54731405,11121
,,,,,,16.31618584,11201,17.7752561,11201,16.83341038,11201,23.43362593,11201
,,,,,,20.73367761,11281,17.04861111,11281,17.76005056,11281,24.2140068,11281
,,,,,,16.90626648,11361,12.72751555,11361,24.19345741,11361,25.234225,11361
,,,,,,17.67669468,11441,17.61327752,11441,19.99907628,11441,23.37026341,11441
,,,,,,18.16193569,11521,13.44111437,11521,18.04759222,11521,23.51386835,11521
,,,,,,17.56336012,11601,16.58624817,11601,20.06448224,11601,17.66105286,11601
,,,,,,15.03269659,11681,14.79597143,11681,9.638857609,11681,20.10698857,11681
,,,,,,12.62006239,11761,13.52078483,11761,10.44017762,11761,23.67007959,11761
,,,,,,16.11130269,11841,13.59143064,11841,16.38131331,11841,19.20633072,11841
,,,,,,16.05782013,11921,11.11407484,11921,13.6530815,11921,21.17005933,11921
,,,,,,13.89691279,12001,12.62287333,12001,15.20958168,12001,21.79784725,12001
,,,,,,14.70115044,12081,15.76817458,12081,15.08963681,12081,23.83584142,12081
